,Nd(k-1),Alpha(k-1),Fm(k-1),Te(k-1),Tl(k-1),N(k-1),Tgas(k-1),COL(k-1),CO2(k-1),COH(k-1),NOx(k-1),P1mean(k-1),P1max(k-1),P1offset(k-1),P2mean(k-1),P2max(k-1),P2offset(k-1),Nd(k-2),Alpha(k-2),Fm(k-2),Te(k-2),Tl(k-2),N(k-2),Tgas(k-2),COL(k-2),CO2(k-2),COH(k-2),NOx(k-2),P1mean(k-2),P1max(k-2),P1offset(k-2),P2mean(k-2),P2max(k-2),P2offset(k-2),Nd(k-3),Alpha(k-3),Fm(k-3),Te(k-3),Tl(k-3),N(k-3),Tgas(k-3),COL(k-3),CO2(k-3),COH(k-3),NOx(k-3),P1mean(k-3),P1max(k-3),P1offset(k-3),P2mean(k-3),P2max(k-3),P2offset(k-3),Nd(k-4),Alpha(k-4),Fm(k-4),Te(k-4),Tl(k-4),N(k-4),Tgas(k-4),COL(k-4),CO2(k-4),COH(k-4),NOx(k-4),P1mean(k-4),P1max(k-4),P1offset(k-4),P2mean(k-4),P2max(k-4),P2offset(k-4),Nd(k-5),Alpha(k-5),Fm(k-5),Te(k-5),Tl(k-5),N(k-5),Tgas(k-5),COL(k-5),CO2(k-5),COH(k-5),NOx(k-5),P1mean(k-5),P1max(k-5),P1offset(k-5),P2mean(k-5),P2max(k-5),P2offset(k-5),Nd(k-6),Alpha(k-6),Fm(k-6),Te(k-6),Tl(k-6),N(k-6),Tgas(k-6),COL(k-6),CO2(k-6),COH(k-6),NOx(k-6),P1mean(k-6),P1max(k-6),P1offset(k-6),P2mean(k-6),P2max(k-6),P2offset(k-6),Nd(k-7),Alpha(k-7),Fm(k-7),Te(k-7),Tl(k-7),N(k-7),Tgas(k-7),COL(k-7),CO2(k-7),COH(k-7),NOx(k-7),P1mean(k-7),P1max(k-7),P1offset(k-7),P2mean(k-7),P2max(k-7),P2offset(k-7),Nd(k-8),Alpha(k-8),Fm(k-8),Te(k-8),Tl(k-8),N(k-8),Tgas(k-8),COL(k-8),CO2(k-8),COH(k-8),NOx(k-8),P1mean(k-8),P1max(k-8),P1offset(k-8),P2mean(k-8),P2max(k-8),P2offset(k-8),Nd(k-9),Alpha(k-9),Fm(k-9),Te(k-9),Tl(k-9),N(k-9),Tgas(k-9),COL(k-9),CO2(k-9),COH(k-9),NOx(k-9),P1mean(k-9),P1max(k-9),P1offset(k-9),P2mean(k-9),P2max(k-9),P2offset(k-9),Nd(k-10),Alpha(k-10),Fm(k-10),Te(k-10),Tl(k-10),N(k-10),Tgas(k-10),COL(k-10),CO2(k-10),COH(k-10),NOx(k-10),P1mean(k-10),P1max(k-10),P1offset(k-10),P2mean(k-10),P2max(k-10),P2offset(k-10),"NOx(k)
"
252,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,1315.0,32.9,6.09,133.7,100.0,1344.0,380.0,34.72,72150.0,83.22,266.5,7.7989,70.183,-7.0794,7.4738,72.597,-5.8175,2092.0,37.4,4.57,112.8,99.0,2103.0,383.0,34.57,70740.0,77.55,261.4,8.8826,84.764,-5.8616,8.6996,85.319,-5.059,1730.0,27.9,4.25,103.7,100.0,1736.0,381.6,34.72,66090.0,77.73,249.5,7.6838,71.223,-6.9742,7.2946,71.223,-5.66,1675.0,24.2,4.56,101.5,100.0,1673.0,380.8,34.96,79250.0,70.26,276.1,7.1372,68.448,-6.6007,6.8713,68.094,-5.5737,1705.0,25.1,4.05,100.2,100.0,1708.0,379.4,34.34,75300.0,77.44,291.5,7.4672,70.525,-6.9109,7.2894,70.979,-5.8888,251.9
253,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,1315.0,32.9,6.09,133.7,100.0,1344.0,380.0,34.72,72150.0,83.22,266.5,7.7989,70.183,-7.0794,7.4738,72.597,-5.8175,2092.0,37.4,4.57,112.8,99.0,2103.0,383.0,34.57,70740.0,77.55,261.4,8.8826,84.764,-5.8616,8.6996,85.319,-5.059,1730.0,27.9,4.25,103.7,100.0,1736.0,381.6,34.72,66090.0,77.73,249.5,7.6838,71.223,-6.9742,7.2946,71.223,-5.66,1675.0,24.2,4.56,101.5,100.0,1673.0,380.8,34.96,79250.0,70.26,276.1,7.1372,68.448,-6.6007,6.8713,68.094,-5.5737,342.9
254,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,1315.0,32.9,6.09,133.7,100.0,1344.0,380.0,34.72,72150.0,83.22,266.5,7.7989,70.183,-7.0794,7.4738,72.597,-5.8175,2092.0,37.4,4.57,112.8,99.0,2103.0,383.0,34.57,70740.0,77.55,261.4,8.8826,84.764,-5.8616,8.6996,85.319,-5.059,1730.0,27.9,4.25,103.7,100.0,1736.0,381.6,34.72,66090.0,77.73,249.5,7.6838,71.223,-6.9742,7.2946,71.223,-5.66,386.4
255,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,1315.0,32.9,6.09,133.7,100.0,1344.0,380.0,34.72,72150.0,83.22,266.5,7.7989,70.183,-7.0794,7.4738,72.597,-5.8175,2092.0,37.4,4.57,112.8,99.0,2103.0,383.0,34.57,70740.0,77.55,261.4,8.8826,84.764,-5.8616,8.6996,85.319,-5.059,272.4
256,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,1315.0,32.9,6.09,133.7,100.0,1344.0,380.0,34.72,72150.0,83.22,266.5,7.7989,70.183,-7.0794,7.4738,72.597,-5.8175,239.2
257,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,1533.0,16.1,3.32,87.4,100.0,1511.0,378.0,34.74,74000.0,74.17,267.5,6.5875,66.635,-6.3992,6.304,66.223,-5.4784,205.1
258,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,1149.0,10.1,3.26,107.9,100.0,1141.0,376.5,34.72,69920.0,79.01,258.9,6.82,63.977,-7.3953,6.662,63.032,-6.1272,249.3
259,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,1585.0,32.3,2.97,111.2,100.0,1595.0,376.6,34.74,75090.0,79.94,280.2,8.0015,71.802,-6.6254,7.6868,70.306,-5.6293,217.8
260,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,2018.0,39.0,5.29,113.1,101.0,2031.0,381.1,34.57,61860.0,76.61,212.7,9.4359,90.664,-6.2272,9.2269,90.997,-5.1523,267.5
261,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,2368.0,37.6,6.3,109.8,101.0,2376.0,380.7,34.03,62020.0,77.78,307.1,9.3333,90.774,-5.6525,9.0332,90.637,-4.7664,240.5
262,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,2468.0,32.7,6.45,101.6,100.0,2467.0,377.7,34.67,64940.0,84.17,251.9,8.1249,80.072,-5.8275,7.9906,79.995,-4.9136,244.6
263,1700.0,26.4,4.65,102.5,100.0,1705.0,378.7,34.45,62370.0,76.45,244.6,7.3831,71.673,-6.1111,7.2629,71.19,-5.3016,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,1733.0,18.9,4.09,83.2,100.0,1704.0,373.6,34.98,74540.0,78.88,342.9,6.3371,66.048,-5.8326,6.419,66.396,-5.2343,251.6
264,1735.0,26.9,4.35,101.0,101.0,1737.0,378.8,34.67,69720.0,85.15,251.6,7.933,75.226,-6.6972,7.6005,75.149,-5.4804,1700.0,26.4,4.65,102.5,100.0,1705.0,378.7,34.45,62370.0,76.45,244.6,7.3831,71.673,-6.1111,7.2629,71.19,-5.3016,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,2074.0,17.3,4.09,83.7,100.0,2052.0,370.7,35.73,94490.0,77.25,386.4,8.1061,86.973,-5.9429,7.859,86.175,-5.1462,344.1
265,1890.0,32.3,4.5,107.6,101.0,1897.0,378.3,34.97,93770.0,73.77,344.1,8.5102,81.204,-5.8725,8.347,82.075,-5.1308,1735.0,26.9,4.35,101.0,101.0,1737.0,378.8,34.67,69720.0,85.15,251.6,7.933,75.226,-6.6972,7.6005,75.149,-5.4804,1700.0,26.4,4.65,102.5,100.0,1705.0,378.7,34.45,62370.0,76.45,244.6,7.3831,71.673,-6.1111,7.2629,71.19,-5.3016,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,1624.0,28.4,6.15,107.6,100.0,1633.0,368.7,34.9,72040.0,80.82,272.4,7.6232,67.877,-6.3551,7.3637,68.402,-5.392,245.2
266,2188.0,37.9,5.71,115.2,100.0,2197.0,377.5,34.81,63760.0,79.66,245.2,9.7459,94.326,-5.7977,9.5205,95.403,-4.7956,1890.0,32.3,4.5,107.6,101.0,1897.0,378.3,34.97,93770.0,73.77,344.1,8.5102,81.204,-5.8725,8.347,82.075,-5.1308,1735.0,26.9,4.35,101.0,101.0,1737.0,378.8,34.67,69720.0,85.15,251.6,7.933,75.226,-6.6972,7.6005,75.149,-5.4804,1700.0,26.4,4.65,102.5,100.0,1705.0,378.7,34.45,62370.0,76.45,244.6,7.3831,71.673,-6.1111,7.2629,71.19,-5.3016,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,1809.0,30.1,3.18,105.9,100.0,1816.0,368.8,35.24,61600.0,86.43,239.2,8.4513,79.842,-6.0624,8.1915,80.73,-5.1968,275.1
267,1342.0,34.1,2.66,120.5,100.0,1373.0,371.7,34.58,74060.0,77.8,275.1,7.7223,67.342,-6.2724,7.437,66.397,-5.3652,2188.0,37.9,5.71,115.2,100.0,2197.0,377.5,34.81,63760.0,79.66,245.2,9.7459,94.326,-5.7977,9.5205,95.403,-4.7956,1890.0,32.3,4.5,107.6,101.0,1897.0,378.3,34.97,93770.0,73.77,344.1,8.5102,81.204,-5.8725,8.347,82.075,-5.1308,1735.0,26.9,4.35,101.0,101.0,1737.0,378.8,34.67,69720.0,85.15,251.6,7.933,75.226,-6.6972,7.6005,75.149,-5.4804,1700.0,26.4,4.65,102.5,100.0,1705.0,378.7,34.45,62370.0,76.45,244.6,7.3831,71.673,-6.1111,7.2629,71.19,-5.3016,1710.0,28.7,3.21,105.4,100.0,1716.0,377.0,34.37,66370.0,76.43,240.5,7.9594,73.102,-6.7295,7.7131,73.475,-5.6295,1693.0,17.1,5.41,80.2,100.0,1673.0,377.0,34.16,66280.0,75.24,267.5,6.3449,65.543,-6.2291,6.1464,65.176,-5.4122,1629.0,45.1,4.12,122.3,100.0,1657.0,370.2,34.3,58390.0,80.16,217.8,7.9227,76.502,-6.9208,7.7699,75.948,-5.8307,1613.0,18.7,3.49,89.7,100.0,1602.0,368.2,34.2,55460.0,84.78,249.3,6.769,65.341,-6.5042,6.5155,65.267,-5.6235,1542.0,22.2,4.83,90.6,100.0,1532.0,368.5,35.15,53970.0,85.29,205.1,6.5875,64.398,-6.6433,6.3456,63.822,-5.5787,253.3
